player_idx,mean,sd,q05,q25,q50,q75,q95,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation
456,1.9428523761379155,0.22739661883479917,1.5837602804082533,1.7843356498767071,1.9313046843819708,2.0935850136324454,2.323597910816124,4845367,Stephon Castle,G,24,SA
399,1.9424984233837275,0.2735489863718436,1.5159200781653754,1.755998337490183,1.9254357546639709,2.121102873758489,2.4028276484250686,4683689,Jordan Walsh,G,2,BOS
290,1.942405300576536,0.32087543107202166,1.4622501594225277,1.7160729865583049,1.9226453399598518,2.142946875099101,2.5092275083049462,4432185,Micah Peavy,G,3,NO
21,1.940223322960344,0.2550680285672931,1.5457590766423317,1.7551342390727707,1.9274846154319336,2.114175342936839,2.3740330212653857,6430,Jimmy Butler III,F,9,GS
205,1.9388429623029504,0.626028242824349,1.117753954326891,1.4956755231640768,1.8380544945656587,2.2664531460377075,3.0796682186655326,4279532,Stanley Umude,G,24,SA
105,1.9353058636718394,0.20300126345192873,1.6216118185009603,1.7951608357252336,1.929037563227772,2.0689365846868926,2.2728607797544202,3147657,Mikal Bridges,G,18,NY
33,1.9307091950750706,0.5978713206691555,1.1105862937935245,1.5112640580423768,1.84666220131129,2.259505075846138,3.019429122916435,2326307,Seth Curry,G,9,GS
449,1.9302535785193016,0.29269879099319834,1.4862267284105164,1.7188712637773873,1.9089461618799612,2.1174576682400112,2.4450895898091582,4711297,Justin Edwards,F,20,PHI
378,1.9297300764344731,0.30993367186973186,1.4471849903029146,1.710540411678668,1.9165304911858092,2.12212350591628,2.4764585941920725,4593803,Jalen Williams,G,25,OKC
51,1.9270886351327838,0.42816544695692665,1.3222569009972798,1.623374138379366,1.8796194506731772,2.1773954867963536,2.701773461296771,2968436,Joe Ingles,F,16,MIN
257,1.9253551715776311,0.5159470411005509,1.1955244933694211,1.5559083897499386,1.8663142197630793,2.2361929367572357,2.867046192044996,4411057,Kevin McCullar Jr.,G,18,NY
250,1.9226619303653167,0.20234674220765989,1.6077448048124645,1.7833647838775373,1.9145521723965273,2.0528837474645445,2.272367512758292,4397688,Trey Murphy III,F,3,NO
134,1.9215239646963564,0.21364350903678428,1.5889678611664722,1.772858712489006,1.9117705734728916,2.0641222714114225,2.287507250400173,3945274,Luka Doncic,G,13,LAL
9,1.920016160793687,0.53119837762043,1.174348426852423,1.547863654468947,1.8550831383935553,2.223813500833786,2.9024394211875544,3431,Eric Gordon,G,20,PHI
283,1.9183269177361653,0.204661934305568,1.5962518731981408,1.7783331275856848,1.9105214703328486,2.052955555948266,2.27392477701348,4432166,Cade Cunningham,G,8,DET
85,1.9103607607161486,0.2632022796139617,1.5128915199748867,1.728510727968142,1.8948479698730183,2.075419250149952,2.3702490291374403,3133603,Kelly Oubre Jr.,G,20,PHI
