athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation,player_idx
4683747,Jaylon Tyson,G,5,CLE,403
4683749,TyTy Washington Jr.,G,12,LAC,404
4683750,Jordan Hawkins,G,3,NO,405
4683766,Isaiah Collier,G,26,UTAH,406
4683771,Ronald Holland II,F,8,DET,407
4683774,Bronny James,G,13,LAL,408
4683778,Jared McCain,G,20,PHI,409
4683834,KJ Simpson,G,30,CHA,410
4683934,Jahmai Mashack,G,29,MEM,411
4683935,Blake Wesley,G,22,POR,412
4684208,Brooks Barnhizer,F,25,OKC,413
4684272,Ja'Kobe Walter,G,28,TOR,414
4684275,Rob Dillingham,G,16,MIN,415
4684740,Amen Thompson,G,10,HOU,416
4684742,Ausar Thompson,G,8,DET,417
4684793,Kyle Filipowski,F,26,UTAH,418
4684806,Taylor Hendricks,F,26,UTAH,419
4687718,Josh Minott,F,2,BOS,420
4696317,Miles Kelly,G,6,DAL,421
4697268,Kam Jones,G,11,IND,422
4700818,Vladislav Goldin,C,14,MIA,423
4700852,Chaz Lanier,G,8,DET,424
4701208,Moussa Cisse,C,6,DAL,425
4701225,PJ Hall,C,29,MEM,426
4701230,Jalen Johnson,F,1,ATL,427
4701232,Mark Williams,C,21,PHX,428
4701233,Craig Porter Jr.,G,5,CLE,429
4701845,Kadary Richmond,G,27,WSH,430
